,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-02-19,3742.850263486918,3745.508400554833,3642.2759755929487,3657.693359375,4366672,847.0504387449713,857.3610822217985,844.8057556604201,852.0823974609375,11884112,397.4764566403701,401.40408972956527,397.1818961448654,399.0475158691406,7079032
2025-02-20,3635.848185178673,3661.4629603766616,3625.988960412709,3653.150146484375,2888572,844.0904430253034,845.9157460199498,831.4118438608401,832.2998046875,26390510,392.71423117033765,396.5927509227199,389.03207509597695,394.7762145996094,15355585
2025-02-21,3649.960586134303,3689.4942392872176,3648.8972369162293,3659.52978515625,1833931,829.2411711352042,836.1724445897772,827.4404985932164,834.9638061523438,15680940,394.7761916445472,395.9544935060131,391.9777771631228,393.6470031738281,8240986
2025-02-24,3618.1109478843173,3637.491230016548,3547.4045991108223,3552.817626953125,2508516,829.3398427560753,830.8691588600108,819.4732095421047,827.3665161132812,20693646,392.7633170048975,396.10179920634647,391.53593163925717,394.6289367675781,7037625
2025-02-25,3503.9076086945556,3535.805250373706,3500.282876685561,3508.3056640625,4101954,824.406500920576,832.7438177754724,824.406500920576,829.9564819335938,24138708,394.7271291352976,399.63667054245303,393.25426671315097,397.52557373046875,15760891
2025-02-27,3491.0520789257853,3516.4735816470966,3480.419530987875,3491.873779296875,3823856,830.0551731686357,843.9671012979777,830.0551731686357,839.0090942382812,35786800,397.525552328783,399.1456949128277,392.2723373128528,394.3343505859375,19051003
2025-02-28,3465.195760859545,3479.743067268356,3341.5199398740847,3366.89306640625,7085018,831.2638337603047,857.0404125816553,831.2638337603047,854.6477661132812,54516728,391.7813927759098,395.218071659909,385.1044286446103,387.853759765625,31954776
2025-03-03,3368.584826957939,3405.557099448941,3360.03036363457,3376.365966796875,4990439,858.2984642242569,859.9017921530082,835.7531707549724,839.4285278320312,21205364,388.7865980194929,391.78140630708367,384.12253365869424,390.25946044921875,10702826
2025-03-04,3357.951843598488,3432.379676631615,3348.5759170238152,3414.062744140625,2797737,837.6771272358142,845.7184570804238,835.3338019387764,843.5971069335938,19920958,388.2465194896839,390.01397233458835,385.7426654162302,387.70648193359375,13404774
2025-03-05,3403.2370189380595,3480.081342184221,3403.2370189380595,3428.561767578125,2501894,839.6257577393887,843.991790915382,832.8671383829512,833.73046875,21583872,387.3628037989018,405.2826293231856,387.3628037989018,397.721923828125,15665018
